User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Charge Status,Charge Difference
User_1,BMW i3,108.46300741284072,Station_391,Houston,1/1/24 0:00,1/1/24 0:39,60.71234573492677,0.5913634253585007,36.38918057,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2,DC Fast Charger,Commuter,Correct,56.74838647
User_2,Hyundai Kona,100,Station_428,San Francisco,1/1/24 1:00,1/1/24 3:01,12.339275203733752,3.133652052688084,30.677734939714437,21.12844792913739,Morning,Monday,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3,Level 1,Casual Driver,Correct,74.54856599
User_3,Chevy Bolt,75,Station_181,San Francisco,1/1/24 2:00,1/1/24 4:48,19.128875700115476,2.4526527258367823,27.513592558773237,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2,Level 2,Commuter,Correct,63.0630108
User_4,Hyundai Kona,50,Station_327,Houston,1/1/24 3:00,1/1/24 6:42,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.316313160363435,1,Level 1,Long-Distance Traveler,Correct,16.50432467
User_5,Hyundai Kona,50,Station_108,Los Angeles,1/1/24 4:00,1/1/24 5:46,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,Morning,Saturday,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027,1,Level 1,Long-Distance Traveler,Correct,9.484836345
User_7,Chevy Bolt,85,Station_162,Houston,1/1/24 6:00,1/1/24 7:53,36.862139988267536,3.5396190263161467,26.185187860033516,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.55133468,4,Level 2,Commuter,Correct,10.04431614
User_8,Chevy Bolt,75,Station_302,Los Angeles,1/1/24 7:00,1/1/24 10:42,51.46761685839947,2.6553964456130235,26.70290777,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.417459666,0,Level 2,Long-Distance Traveler,Correct,7.585112299
User_9,Chevy Bolt,62,Station_493,Los Angeles,1/1/24 8:00,1/1/24 9:21,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,Evening,Wednesday,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4,Level 1,Commuter,Correct,59.49522064
User_10,Hyundai Kona,50,Station_452,Chicago,1/1/24 9:00,1/1/24 12:44,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.51201936462591,2.830381306943589,DC Fast Charger,Commuter,Correct,42.65392675
User_11,BMW i3,50,Station_206,Los Angeles,1/1/24 10:00,1/1/24 13:59,18.206197477378716,2.6486354477276968,10.310701112892176,38.221230704051806,Night,Thursday,76.08656557040186,82.26558163,64.63464374887128,0.5004335643954789,3,DC Fast Charger,Casual Driver,Correct,6.179016056
